	_	_+=_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_	weighted_average
precision	0.8222222222222222	0.0	0.0	0.0	0.875	1.0	0.9655172413793104	1.0	0.8205128205128205	1.0	0.5906230838702872
recall	0.8809523809523809	0.0	0.0	0.0	0.4666666666666667	0.2727272727272727	0.9655172413793104	0.2222222222222222	0.9411764705882353	0.7272727272727273	0.3704748703138127
f1	0.8505747126436781	0.0	0.0	0.0	0.608695652173913	0.42857142857142855	0.9655172413793104	0.3636363636363636	0.8767123287671232	0.8421052631578948	0.4219798646761772
