	_	_+=_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_	weighted_average
precision	0.77088948787062	0.0	1.0	1.0	0.8	0.6666666666666666	0.7922077922077922	1.0	0.9107142857142857	0.0	0.6726493611312613
recall	0.8746177370030581	0.0	0.5714285714285714	0.25	0.26666666666666666	0.18181818181818182	0.7922077922077922	0.4444444444444444	0.816	0.0	0.34665063520711414
f1	0.819484240687679	0.0	0.7272727272727273	0.4	0.4	0.28571428571428575	0.7922077922077922	0.6153846153846153	0.8607594936708861	0.0	0.4316439051595429
