	_	_+=_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_	weighted_average
precision	0.49523809523809526	0.0	0.0	0.05263157894736842	0.0	0.017241379310344827	0.1111111111111111	0.023809523809523808	0.20253164556962025	0.0	0.04159489599146596
recall	0.2374429223744292	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.021739130434782608	0.3333333333333333	0.18823529411764706	0.0	0.1875270512217506
f1	0.32098765432098764	0.0	0.0	0.09090909090909091	0.0	0.03361344537815126	0.03636363636363637	0.044444444444444446	0.1951219512195122	0.0	0.04175896322175185
