	_	_+=_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_	weighted_average
precision	0.9493243243243243	0.0	0.6666666666666666	1.0	1.0	1.0	0.9701492537313433	1.0	0.9469026548672567	1.0	0.8151796066848326
recall	0.8593272171253823	0.0	0.2857142857142857	1.0	0.5333333333333333	0.2727272727272727	0.8441558441558441	0.2222222222222222	0.856	0.5	0.47194029060909465
f1	0.9020866773675762	0.0	0.4	1.0	0.6956521739130436	0.42857142857142855	0.9027777777777779	0.3636363636363636	0.8991596638655461	0.6666666666666666	0.563931738086412
