	_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_	weighted_average
precision	0.9461279461279462	1.0	1.0	1.0	0.7142857142857143	0.971830985915493	1.0	0.9917355371900827	0.8	0.9328180051186626
recall	0.8593272171253823	0.2857142857142857	0.5	0.5333333333333333	0.45454545454545453	0.8961038961038961	0.8888888888888888	0.96	0.6666666666666666	0.6189612410076584
f1	0.9006410256410257	0.4444444444444445	0.6666666666666666	0.6956521739130436	0.5555555555555556	0.9324324324324325	0.9411764705882353	0.975609756097561	0.7272727272727272	0.719980811472864
